CD Collection;Colección de CD
Use login: "{0}" and password: "{1}".;Usar inicio de sesión "{0}" y la contraseña "{1}".
User;Usuario
Password;Contraseña
Sign In;Iniciar sesión
Error {0};Error {0}
Oooops!;Alarido!
Log Out;Salir
New album;Nuevo album
Id;Id
Title;Título
Interpret;Interpretar
Year;Año
Delete;Eliminar
Back to list;Volver a la lista
Title:;Título:
Interpret:;Interpretar:
Year:;Año:
Save;Guardar
Edit album - {0};Editar album - {0}
Edit album;Editar album
Display:;Vistas:
Change language:;Lenguaje:
Language: de-DE;Alemán
Language: es-ES;Español
Language: ru-RU;Ruso
Language: cs-CZ;Checo
Language: en-US;Inglés
mobile;móviles
full;de computadora
No albums in database. To create, click to 'New Album' button.;No hay álbumes en la base de datos. Para crear, haga clic en el botón 'Nuevo álbum'.
Found {count} results.;{count, plural, zero {No se han encontrado resultados.} one {1 álbum encontrado.} other {# álbumes encontrados.}}
